state,county,population
 Wisconsin,Grant County,51439
 Wisconsin,Green County,36960
 Wisconsin,Green Lake County,18913
 Wisconsin,Iowa County,23678
 Wisconsin,Iron County,5687
 Wisconsin,Jackson County,20643
 Wisconsin,Jefferson County,84769
 Wisconsin,Juneau County,26687
 Wisconsin,Kenosha County,169561
 Wisconsin,Kewaunee County,20434
 Wisconsin,La Crosse County,118016
 Wisconsin,Lafayette County,16665
 Wisconsin,Langlade County,19189
 Wisconsin,Lincoln County,27593
 Wisconsin,Manitowoc County,78981
 Wisconsin,Marathon County,135692
 Wisconsin,Marinette County,40350
 Wisconsin,Marquette County,15574
 Wisconsin,Menominee County,4556
 Wisconsin,Milwaukee County,945726
 Wisconsin,Monroe County,46253
 Wisconsin,Oconto County,37930
 Wisconsin,Oneida County,35595
 Wisconsin,Outagamie County,187885
 Wisconsin,Ozaukee County,89221
 Wisconsin,Pepin County,7287
 Wisconsin,Pierce County,42754
 Wisconsin,Polk County,43783
 Wisconsin,Portage County,70772
 Wisconsin,Price County,13351
 Wisconsin,Racine County,196311
 Wisconsin,Richland County,17252
 Wisconsin,Rock County,163354
 Wisconsin,Rusk County,14178
 Wisconsin,St. Croix County,90687
 Wisconsin,Sauk County,64442
 Wisconsin,Sawyer County,16558
 Wisconsin,Shawano County,40899
 Wisconsin,Sheboygan County,115340
 Wisconsin,Taylor County,20343
 Wisconsin,Trempealeau County,29649
 Wisconsin,Vernon County,30822
 Wisconsin,Vilas County,22195
 Wisconsin,Walworth County,103868
 Wisconsin,Washburn County,15720
 Wisconsin,Washington County,136034
 Wisconsin,Waukesha County,404198
 Wisconsin,Waupaca County,50990
 Wisconsin,Waushara County,24443
 Wisconsin,Winnebago County,171907
 Wisconsin,Wood County,72999
 Wyoming,Albany County,38880
 Wyoming,Big Horn County,11790
 Wyoming,Campbell County,46341
 Wyoming,Carbon County,14800
 Wyoming,Converse County,13822
 Wyoming,Crook County,7584
 Wyoming,Fremont County,39261
 Wyoming,Goshen County,13211
 Wyoming,Hot Springs County,4413
 Wyoming,Johnson County,8445
 Wyoming,Laramie County,99500
 Wyoming,Lincoln County,19830
 Wyoming,Natrona County,79858
 Wyoming,Niobrara County,2356
 Wyoming,Park County,29194
 Wyoming,Platte County,8393
 Wyoming,Sheridan County,30485
 Wyoming,Sublette County,9831
 Wyoming,Sweetwater County,42343
 Wyoming,Teton County,23464
 Wyoming,Uinta County,20226
 Wyoming,Washakie County,7805
 Wyoming,Weston County,6927
